caseNumber,startDate      ,endDate        ,Fre  ,startDate_update,endDate_update ,bad_data,k_value
1         ,1/14/2013 0:00 ,1/14/2013 2:00 ,0.329,1/12/2013 23:45 ,1/13/2013 0:15 ,1       ,14
2         ,1/16/2013 3:00 ,1/16/2013 5:00 ,0.328,1/15/2013 2:45  ,1/15/2013 3:15 ,0       ,17
3         ,1/22/2013 2:00 ,1/22/2013 4:00 ,0.329,1/21/2013 4:40  ,1/21/2013 5:10 ,0       ,16
4         ,2/6/2013 0:00  ,2/6/2013 3:00  ,0.328,2/4/2013 23:15  ,2/4/2013 23:45 ,0       ,14
5         ,3/6/2013 18:00 ,3/6/2013 20:00 ,0.327,3/4/2013 11:05  ,3/4/2013 11:35 ,0       ,17
6         ,4/3/2013 15:00 ,4/3/2013 17:00 ,0.326,4/2/2013 23:40  ,4/3/2013 0:10  ,0       ,23
7         ,4/8/2013 15:00 ,4/8/2013 16:00 ,0.327,4/7/2013 16:55  ,4/7/2013 17:25 ,0       ,22
8         ,4/10/2013 19:00,4/10/2013 22:00,0.327,4/10/2013 5:45  ,4/10/2013 6:15 ,0       ,22
9         ,5/19/2013 11:00,5/19/2013 13:00,0.325,5/18/2013 17:55 ,5/18/2013 18:25,0       ,20
10        ,5/21/2013 18:00,5/21/2013 20:00,0.326,5/19/2013 20:00 ,5/19/2013 20:30,0       ,20
11        ,6/10/2013 4:00 ,6/10/2013 7:00 ,0.326,6/8/2013 2:45   ,6/8/2013 3:15  ,1       ,13
12        ,7/9/2013 17:00 ,7/9/2013 18:00 ,0.326,7/6/2013 3:00   ,7/6/2013 3:45  ,0       ,22
13        ,7/11/2013 18:00,7/11/2013 19:00,     ,                ,               ,1       ,
14        ,7/16/2013 15:00,7/16/2013 17:00,     ,                ,               ,1       ,
15        ,7/21/2013 16:00,7/21/2013 20:00,     ,                ,               ,1       ,
16        ,8/1/2013 12:00 ,8/1/2013 16:00 ,0.325,7/29/2013 8:55  ,7/29/2013 9:25 ,0       ,21
17        ,8/2/2013 22:00 ,8/3/2013 0:00  ,0.326,8/1/2013 21:20  ,8/1/2013 21:50 ,0       ,18
18        ,8/10/2013 22:00,8/10/2013 23:00,0.326,8/8/2013 7:15   ,8/8/2013 7:45  ,0       ,20
19        ,8/16/2013 18:00,8/16/2013 19:00,0.326,8/8/2013 7:15   ,8/8/2013 7:45  ,0       ,20
20        ,8/24/2013 15:00,8/24/2013 21:00,     ,                ,               ,1       ,
21        ,8/28/2013 14:00,8/28/2013 17:00,     ,                ,               ,1       ,
22        ,8/29/2013 14:00,8/29/2013 15:00,0.324,8/25/2013 17:50 ,8/25/2013 18:20,1       ,22
