caseNumber,startDate      ,endDate        ,Fre  ,startDate_update,endDate_update ,bad_data,k_value,mode1_SSI,mode2_SSI,mode3_SSI,mode4_SSI,mode5_SSI,mode6_SSI,mode7_SSI
1         ,1/16/2013 3:00 ,1/16/2013 5:00 ,0.328,1/15/2013 2:45  ,1/15/2013 3:15 ,0       ,17     ,         ,         ,         ,         ,         ,         ,
2         ,1/22/2013 2:00 ,1/22/2013 4:00 ,0.329,1/21/2013 4:40  ,1/21/2013 5:10 ,0       ,16     ,         ,         ,         ,         ,         ,         ,
3         ,2/6/2013 0:00  ,2/6/2013 3:00  ,0.328,2/4/2013 23:15  ,2/4/2013 23:45 ,0       ,14     ,         ,         ,         ,         ,         ,         ,
4         ,3/6/2013 18:00 ,3/6/2013 20:00 ,0.327,3/4/2013 11:05  ,3/4/2013 11:35 ,0       ,17     ,         ,         ,         ,         ,         ,         ,
5         ,4/3/2013 15:00 ,4/3/2013 17:00 ,0.326,4/2/2013 23:40  ,4/3/2013 0:10  ,0       ,23     ,         ,         ,         ,         ,         ,         ,
6         ,4/8/2013 15:00 ,4/8/2013 16:00 ,0.327,4/7/2013 16:55  ,4/7/2013 17:25 ,0       ,22     ,         ,         ,         ,         ,         ,         ,
7         ,4/10/2013 19:00,4/10/2013 22:00,0.327,4/10/2013 5:45  ,4/10/2013 6:15 ,0       ,22     ,         ,         ,         ,         ,         ,         ,
8         ,5/19/2013 11:00,5/19/2013 13:00,0.325,5/18/2013 17:55 ,5/18/2013 18:25,0       ,20     ,         ,         ,         ,         ,         ,         ,
9         ,5/21/2013 18:00,5/21/2013 20:00,0.326,5/19/2013 20:00 ,5/19/2013 20:30,0       ,20     ,         ,         ,         ,         ,         ,         ,
10        ,7/9/2013 17:00 ,7/9/2013 18:00 ,0.326,7/6/2013 3:00   ,7/6/2013 3:45  ,0       ,22     ,         ,         ,         ,         ,         ,         ,
11        ,8/1/2013 12:00 ,8/1/2013 16:00 ,0.325,7/29/2013 8:55  ,7/29/2013 9:25 ,0       ,21     ,         ,         ,         ,         ,         ,         ,
12        ,8/2/2013 22:00 ,8/3/2013 0:00  ,0.326,8/1/2013 21:20  ,8/1/2013 21:50 ,0       ,18     ,         ,         ,         ,         ,         ,         ,
13        ,8/10/2013 22:00,8/10/2013 23:00,0.326,8/8/2013 7:15   ,8/8/2013 7:45  ,0       ,20     ,         ,         ,         ,         ,         ,         ,
14        ,8/16/2013 18:00,8/16/2013 19:00,0.326,8/8/2013 7:15   ,8/8/2013 7:45  ,0       ,20     ,         ,         ,         ,         ,         ,         ,
