
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X             Y             Z           THXY     THYZ     THZX
        1   20722.        41.872        0.0000          0.00     0.00     0.00
        2   20727.        41.997        0.0000          0.00     0.00     0.00
        3   20732.        42.122        0.0000          0.00     0.00     0.00
        4   20737.        42.247        0.0000          0.00     0.00     0.00
        5   20742.        42.372        0.0000          0.00     0.00     0.00
        6   20747.        42.497        0.0000          0.00     0.00     0.00
        7   20752.        42.622        0.0000          0.00     0.00     0.00
        8   20757.        42.747        0.0000          0.00     0.00     0.00
        9   20762.        42.872        0.0000          0.00     0.00     0.00
       10   20767.        42.997        0.0000          0.00     0.00     0.00
       11   20772.        43.122        0.0000          0.00     0.00     0.00
       12   20781.        43.347        0.0000          0.00     0.00     0.00
       13   20790.        43.572        0.0000          0.00     0.00     0.00
       14   20799.        43.797        0.0000          0.00     0.00     0.00
       15   20808.        44.022        0.0000          0.00     0.00     0.00
       16   20817.        44.247        0.0000          0.00     0.00     0.00
       17   20826.        44.472        0.0000          0.00     0.00     0.00
       18   20835.        44.697        0.0000          0.00     0.00     0.00
       19   20844.        44.922        0.0000          0.00     0.00     0.00
       20   20853.        45.147        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
       21   20862.        45.372        0.0000          0.00     0.00     0.00
       22   20871.        45.597        0.0000          0.00     0.00     0.00
       23   20880.        45.822        0.0000          0.00     0.00     0.00
       24   20889.        46.047        0.0000          0.00     0.00     0.00
       25   20898.        46.272        0.0000          0.00     0.00     0.00
       26   20907.        46.497        0.0000          0.00     0.00     0.00
       27   20916.        46.722        0.0000          0.00     0.00     0.00
       28   20925.        46.947        0.0000          0.00     0.00     0.00
       29   20934.        47.172        0.0000          0.00     0.00     0.00
       30   20943.        47.397        0.0000          0.00     0.00     0.00
       31   20952.        47.622        0.0000          0.00     0.00     0.00
       32   20961.        47.847        0.0000          0.00     0.00     0.00
       33   20970.        48.072        0.0000          0.00     0.00     0.00
       34   20979.        48.297        0.0000          0.00     0.00     0.00
       35   20988.        48.522        0.0000          0.00     0.00     0.00
       36   20997.        48.747        0.0000          0.00     0.00     0.00
       37   21006.        48.972        0.0000          0.00     0.00     0.00
       38   21015.        49.197        0.0000          0.00     0.00     0.00
       39   21024.        49.422        0.0000          0.00     0.00     0.00
       40   21033.        49.647        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
       41   21042.        49.872        0.0000          0.00     0.00     0.00
       42   21051.        50.097        0.0000          0.00     0.00     0.00
       43   21060.        50.322        0.0000          0.00     0.00     0.00
       44   21069.        50.547        0.0000          0.00     0.00     0.00
       45   21078.        50.772        0.0000          0.00     0.00     0.00
       46   21087.        50.997        0.0000          0.00     0.00     0.00
       47   21096.        51.222        0.0000          0.00     0.00     0.00
       48   21105.        51.447        0.0000          0.00     0.00     0.00
       49   21114.        51.672        0.0000          0.00     0.00     0.00
       50   21123.        51.897        0.0000          0.00     0.00     0.00
       51   21132.        52.122        0.0000          0.00     0.00     0.00
       52   21141.        52.347        0.0000          0.00     0.00     0.00
       53   21150.        52.572        0.0000          0.00     0.00     0.00
       54   21159.        52.797        0.0000          0.00     0.00     0.00
       55   21168.        53.022        0.0000          0.00     0.00     0.00
       56   21177.        53.247        0.0000          0.00     0.00     0.00
       57   21186.        53.472        0.0000          0.00     0.00     0.00
       58   21195.        53.697        0.0000          0.00     0.00     0.00
       59   21204.        53.922        0.0000          0.00     0.00     0.00
       60   21213.        54.147        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
       61   21222.        54.372        0.0000          0.00     0.00     0.00
       62   21231.        54.597        0.0000          0.00     0.00     0.00
       63   21240.        54.822        0.0000          0.00     0.00     0.00
       64   21249.        55.047        0.0000          0.00     0.00     0.00
       65   21258.        55.272        0.0000          0.00     0.00     0.00
       66   21267.        55.497        0.0000          0.00     0.00     0.00
       67   21276.        55.722        0.0000          0.00     0.00     0.00
       68   21279.        55.797        0.0000          0.00     0.00     0.00
       69   21282.        55.872        0.0000          0.00     0.00     0.00
       70   21285.        55.947        0.0000          0.00     0.00     0.00
       71   21288.        56.022        0.0000          0.00     0.00     0.00
       72   21291.        56.097        0.0000          0.00     0.00     0.00
       73   21294.        56.172        0.0000          0.00     0.00     0.00
       74   21297.        56.247        0.0000          0.00     0.00     0.00
       75   21300.        56.322        0.0000          0.00     0.00     0.00
       76   21303.        56.397        0.0000          0.00     0.00     0.00
       77   21306.        56.472        0.0000          0.00     0.00     0.00
       78   21309.        56.546        0.0000          0.00     0.00     0.00
       79   21312.        56.620        0.0000          0.00     0.00     0.00
       80   21315.        56.694        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
       81   21318.        56.768        0.0000          0.00     0.00     0.00
       82   21321.        56.841        0.0000          0.00     0.00     0.00
       83   21324.        56.914        0.0000          0.00     0.00     0.00
       84   21333.        57.131        0.0000          0.00     0.00     0.00
       85   21342.        57.346        0.0000          0.00     0.00     0.00
       86   21351.        57.558        0.0000          0.00     0.00     0.00
       87   21360.        57.768        0.0000          0.00     0.00     0.00
       88   21369.        57.975        0.0000          0.00     0.00     0.00
       89   21378.        58.180        0.0000          0.00     0.00     0.00
       90   21387.        58.383        0.0000          0.00     0.00     0.00
       91   21396.        58.583        0.0000          0.00     0.00     0.00
       92   21405.        58.780        0.0000          0.00     0.00     0.00
       93   21414.        58.975        0.0000          0.00     0.00     0.00
       94   21423.        59.168        0.0000          0.00     0.00     0.00
       95   21432.        59.358        0.0000          0.00     0.00     0.00
       96   21441.        59.546        0.0000          0.00     0.00     0.00
       97   21450.        59.731        0.0000          0.00     0.00     0.00
       98   21459.        59.914        0.0000          0.00     0.00     0.00
       99   21468.        60.095        0.0000          0.00     0.00     0.00
      100   21477.        60.273        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      101   21486.        60.448        0.0000          0.00     0.00     0.00
      102   21495.        60.621        0.0000          0.00     0.00     0.00
      103   21504.        60.792        0.0000          0.00     0.00     0.00
      104   21513.        60.960        0.0000          0.00     0.00     0.00
      105   21522.        61.125        0.0000          0.00     0.00     0.00
      106   21531.        61.289        0.0000          0.00     0.00     0.00
      107   21540.        61.449        0.0000          0.00     0.00     0.00
      108   21549.        61.608        0.0000          0.00     0.00     0.00
      109   21558.        61.764        0.0000          0.00     0.00     0.00
      110   21567.        61.917        0.0000          0.00     0.00     0.00
      111   21576.        62.068        0.0000          0.00     0.00     0.00
      112   21585.        62.216        0.0000          0.00     0.00     0.00
      113   21594.        62.362        0.0000          0.00     0.00     0.00
      114   21603.        62.506        0.0000          0.00     0.00     0.00
      115   21612.        62.647        0.0000          0.00     0.00     0.00
      116   21621.        62.786        0.0000          0.00     0.00     0.00
      117   21630.        62.922        0.0000          0.00     0.00     0.00
      118   21639.        63.056        0.0000          0.00     0.00     0.00
      119   21648.        63.187        0.0000          0.00     0.00     0.00
      120   21657.        63.316        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      121   21666.        63.442        0.0000          0.00     0.00     0.00
      122   21675.        63.566        0.0000          0.00     0.00     0.00
      123   21684.        63.688        0.0000          0.00     0.00     0.00
      124   21693.        63.807        0.0000          0.00     0.00     0.00
      125   21702.        63.923        0.0000          0.00     0.00     0.00
      126   21711.        64.037        0.0000          0.00     0.00     0.00
      127   21720.        64.149        0.0000          0.00     0.00     0.00
      128   21729.        64.258        0.0000          0.00     0.00     0.00
      129   21738.        64.365        0.0000          0.00     0.00     0.00
      130   21747.        64.469        0.0000          0.00     0.00     0.00
      131   21756.        64.571        0.0000          0.00     0.00     0.00
      132   21765.        64.670        0.0000          0.00     0.00     0.00
      133   21774.        64.767        0.0000          0.00     0.00     0.00
      134   21783.        64.862        0.0000          0.00     0.00     0.00
      135   21792.        64.954        0.0000          0.00     0.00     0.00
      136   21801.        65.043        0.0000          0.00     0.00     0.00
      137   21810.        65.130        0.0000          0.00     0.00     0.00
      138   21819.        65.215        0.0000          0.00     0.00     0.00
      139   21828.        65.297        0.0000          0.00     0.00     0.00
      140   21837.        65.377        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      141   21846.        65.454        0.0000          0.00     0.00     0.00
      142   21855.        65.529        0.0000          0.00     0.00     0.00
      143   21864.        65.602        0.0000          0.00     0.00     0.00
      144   21873.        65.672        0.0000          0.00     0.00     0.00
      145   21882.        65.739        0.0000          0.00     0.00     0.00
      146   21891.        65.804        0.0000          0.00     0.00     0.00
      147   21900.        65.867        0.0000          0.00     0.00     0.00
      148   21909.        65.927        0.0000          0.00     0.00     0.00
      149   21918.        65.984        0.0000          0.00     0.00     0.00
      150   21927.        66.040        0.0000          0.00     0.00     0.00
      151   21936.        66.092        0.0000          0.00     0.00     0.00
      152   21945.        66.143        0.0000          0.00     0.00     0.00
      153   21954.        66.190        0.0000          0.00     0.00     0.00
      154   21963.        66.236        0.0000          0.00     0.00     0.00
      155   21972.        66.279        0.0000          0.00     0.00     0.00
      156   21981.        66.319        0.0000          0.00     0.00     0.00
      157   21990.        66.357        0.0000          0.00     0.00     0.00
      158   21999.        66.393        0.0000          0.00     0.00     0.00
      159   22008.        66.426        0.0000          0.00     0.00     0.00
      160   22017.        66.457        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      161   22026.        66.485        0.0000          0.00     0.00     0.00
      162   22035.        66.511        0.0000          0.00     0.00     0.00
      163   22044.        66.534        0.0000          0.00     0.00     0.00
      164   22053.        66.555        0.0000          0.00     0.00     0.00
      165   22062.        66.573        0.0000          0.00     0.00     0.00
      166   22071.        66.589        0.0000          0.00     0.00     0.00
      167   22080.        66.603        0.0000          0.00     0.00     0.00
      168   22089.        66.614        0.0000          0.00     0.00     0.00
      169   22098.        66.622        0.0000          0.00     0.00     0.00
      170   22107.        66.628        0.0000          0.00     0.00     0.00
      171   22116.        66.632        0.0000          0.00     0.00     0.00
      172   22125.        66.633        0.0000          0.00     0.00     0.00
      173   22134.        66.632        0.0000          0.00     0.00     0.00
      174   22143.        66.628        0.0000          0.00     0.00     0.00
      175   22152.        66.622        0.0000          0.00     0.00     0.00
      176   22161.        66.614        0.0000          0.00     0.00     0.00
      177   22170.        66.603        0.0000          0.00     0.00     0.00
      178   22179.        66.589        0.0000          0.00     0.00     0.00
      179   22188.        66.573        0.0000          0.00     0.00     0.00
      180   22197.        66.555        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      181   22206.        66.534        0.0000          0.00     0.00     0.00
      182   22215.        66.511        0.0000          0.00     0.00     0.00
      183   22224.        66.485        0.0000          0.00     0.00     0.00
      184   22233.        66.457        0.0000          0.00     0.00     0.00
      185   22242.        66.426        0.0000          0.00     0.00     0.00
      186   22251.        66.393        0.0000          0.00     0.00     0.00
      187   22260.        66.357        0.0000          0.00     0.00     0.00
      188   22269.        66.319        0.0000          0.00     0.00     0.00
      189   22278.        66.279        0.0000          0.00     0.00     0.00
      190   22287.        66.236        0.0000          0.00     0.00     0.00
      191   22296.        66.190        0.0000          0.00     0.00     0.00
      192   22305.        66.143        0.0000          0.00     0.00     0.00
      193   22314.        66.092        0.0000          0.00     0.00     0.00
      194   22323.        66.040        0.0000          0.00     0.00     0.00
      195   22332.        65.984        0.0000          0.00     0.00     0.00
      196   22341.        65.927        0.0000          0.00     0.00     0.00
      197   22350.        65.867        0.0000          0.00     0.00     0.00
      198   22359.        65.804        0.0000          0.00     0.00     0.00
      199   22368.        65.739        0.0000          0.00     0.00     0.00
      200   22377.        65.672        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      201   22386.        65.602        0.0000          0.00     0.00     0.00
      202   22395.        65.529        0.0000          0.00     0.00     0.00
      203   22404.        65.454        0.0000          0.00     0.00     0.00
      204   22413.        65.377        0.0000          0.00     0.00     0.00
      205   22422.        65.297        0.0000          0.00     0.00     0.00
      206   22431.        65.215        0.0000          0.00     0.00     0.00
      207   22440.        65.130        0.0000          0.00     0.00     0.00
      208   22449.        65.043        0.0000          0.00     0.00     0.00
      209   22458.        64.954        0.0000          0.00     0.00     0.00
      210   22467.        64.862        0.0000          0.00     0.00     0.00
      211   22476.        64.767        0.0000          0.00     0.00     0.00
      212   22485.        64.670        0.0000          0.00     0.00     0.00
      213   22494.        64.571        0.0000          0.00     0.00     0.00
      214   22503.        64.469        0.0000          0.00     0.00     0.00
      215   22512.        64.365        0.0000          0.00     0.00     0.00
      216   22521.        64.258        0.0000          0.00     0.00     0.00
      217   22530.        64.149        0.0000          0.00     0.00     0.00
      218   22539.        64.037        0.0000          0.00     0.00     0.00
      219   22548.        63.923        0.0000          0.00     0.00     0.00
      220   22557.        63.807        0.0000          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      221   22566.        63.688        0.0000          0.00     0.00     0.00
      222   22575.        63.566        0.0000          0.00     0.00     0.00
      223   22584.        63.442        0.0000          0.00     0.00     0.00
      224   22593.        63.316        0.0000          0.00     0.00     0.00
